id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0usLN2VpccZQwWkGLm3Odm,2013 Will Be My Year,0,161045,0,['Jay and Others :>'],['3pwVqfe1xCnGTTnbVjYf74'],4/16/2021,0.347,0.965,10,-6.014,1,0.142,0.0504,0,0.343,0.392,90.987,4
1Nlstdx5q4GVUyaQqHYvqh,Inner City Life - 2020 Remaster,0,422183,0,['Goldie'],['2SYqJ3uDLLXZNyZdLKBy4M'],4/16/2021,0.384,0.889,7,-6.548,1,0.0936,0.00226,0.425,0.0728,0.112,154.886,4
4BvreMl8IerW37NLYtBZ9e,Blow Your Mind (Mwah),0,178583,0,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],4/16/2021,0.677,0.796,2,-4.761,0,0.117,0.0188,0,0.0948,0.494,108.851,4
4K9PNGfQMYnMsY9zEDKDLC,Break My Heart,0,352453,0,"['Dua Lipa', 'Moodymann']","['6M2wZ9GZgrQXHCFfjv46we', '6pohviZSNRueSX7uNu63ZX']",4/16/2021,0.772,0.637,4,-7.846,0,0.0494,0.022,0.0353,0.0898,0.409,113.022,4
5xZAMT6xqi8sXUHcccwzK2,Love Again,0,258004,0,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],4/16/2021,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85E-05,0.1,0.468,115.982,4
6FuKtySnU6P6hlaDwLa86l,Break My Heart,0,352453,0,"['Dua Lipa', 'Moodymann']","['6M2wZ9GZgrQXHCFfjv46we', '6pohviZSNRueSX7uNu63ZX']",4/16/2021,0.772,0.637,4,-7.846,0,0.0494,0.022,0.0353,0.0898,0.409,113.022,4
6cjSDzbazK0wsWWbZMRxsl,Blow Your Mind (Mwah),0,178583,0,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],4/16/2021,0.677,0.796,2,-4.761,0,0.117,0.0188,0,0.0948,0.494,108.851,4
0ZwGh5keVMD6wSiKONwN5x,That's What I Like,0,205080,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],4/16/2021,0.852,0.551,1,-4.951,1,0.0416,0.0146,0,0.0898,0.85,134.061,4
1C7DMS3sefDK896FSTFZak,Count On Me,0,197373,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],4/16/2021,0.577,0.397,0,-5.981,1,0.0281,0.84,0,0.0772,0.508,89.045,4
3BjwHpWcQ0BZBu87yw7Exq,That's What I Like,0,205080,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],4/16/2021,0.852,0.551,1,-4.951,1,0.0416,0.0146,0,0.0898,0.85,134.061,4
