Artist.Followers,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,explicit,mode,instrumentalness,time_signature,Key
3377762,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589,FALSE,0,0,4,11
2230022,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478,TRUE,1,0,4,1
6266514,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688,TRUE,1,0,4,9
83293380,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591,FALSE,0,0.0000314,4,11
5473565,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894,TRUE,0,0,4,3
5473565,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758,TRUE,0,0,4,8
8640063,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742,TRUE,1,0.000158,4,8
6080597,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342,TRUE,0,0.000163,4,3
36142273,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44,TRUE,1,0,4,1
3377762,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958,TRUE,1,0,4,1
27142474,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,FALSE,0,0,4,6
29051363,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768,FALSE,1,0.000354,4,8
37106176,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646,FALSE,1,0,4,9
48504126,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464,TRUE,1,0,4,0
37106176,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695,FALSE,1,0,4,8
6266514,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227,0.0849,FALSE,1,0,4,3
6266514,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178,TRUE,1,0.0000057,4,2
35305637,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593,FALSE,1,0.0000244,4,0
2123734,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335,0.785,TRUE,0,0,4,6
8640063,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560,0.194,TRUE,1,0,4,1
151486,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632,TRUE,1,0,4,6
8640063,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253,0.619,TRUE,1,0,4,3
6266514,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137,TRUE,1,0.0000142,4,10
1890510,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531,FALSE,1,0.0000067,4,11
35305637,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040,0.334,FALSE,1,0.0000954,4,1
6266514,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933,0.338,TRUE,1,0.00000967,3,6
10502148,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120,0.442,TRUE,1,0.0000698,4,7
33651775,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213,0.288,TRUE,0,0.00000371,4,3
83689,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153,0.801,FALSE,1,0.000132,4,2
365975,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780,0.472,TRUE,0,0,4,4
32574754,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096,0.719,FALSE,1,0,4,5
22683756,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842,0.61,FALSE,0,0,4,10
6266514,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667,0.218,FALSE,1,0,4,9
16216789,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053,0.808,FALSE,0,0,4,4
16112621,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000,0.557,FALSE,1,0,4,0
4840346,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926,0.437,TRUE,1,0,4,6
8640063,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173,0.436,TRUE,1,0.00233,4,8
8758283,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631,0.784,TRUE,1,0,4,7
36142273,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090,0.145,TRUE,0,0.0000522,4,4
2936204,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275,0.916,FALSE,1,0.00000501,4,2
6266514,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160,0.699,FALSE,0,0,4,10
29051363,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280,0.646,FALSE,0,0.00000137,4,3
37106176,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054,0.737,FALSE,0,0,4,6
5785065,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000,0.235,FALSE,0,0.0192,4,8
3120157,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726,0.479,FALSE,1,0,4,1
1274433,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533,0.732,TRUE,0,0,4,7
375865,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353,0.789,FALSE,0,0.0000011,3,5
6929075,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547,0.573,TRUE,0,0.00000202,4,6
389076,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,122773,0.866,TRUE,1,0.0000177,4,3
3126961,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087,0.818,TRUE,0,0,4,1
45362,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,321556,0.601,FALSE,1,0,4,9
47014200,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777,0.554,TRUE,1,0.525,4,8
32178,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,345543,0.59,FALSE,0,0.528,4,6
31541310,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983,0.637,FALSE,1,0.00000441,4,7
495226,0.345,0.941,-9.918,0.0466,3.84E-05,0.0511,179.626,147062,0.407,FALSE,1,0.633,4,9
409173,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,157176,0.907,FALSE,0,0.00000139,4,11
6080597,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032,0.432,TRUE,1,0.0000108,4,3
32262679,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,227395,0.721,FALSE,1,0,4,10
12169108,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,169011,0.673,FALSE,0,0,4,11
4787261,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,184635,0.891,TRUE,1,0,4,9
291777,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,150053,0.517,FALSE,1,0.00000628,4,7
6266514,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,143747,0.28,TRUE,1,0.00000137,4,4
35305637,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593,FALSE,1,0.0000244,4,0
1398563,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,198371,0.543,FALSE,1,0.00000102,3,0
1250353,0.793,0.793,-4.521,0.083,0.0123,0.0951,123.95,183290,0.679,FALSE,0,0,4,11
116817,0.708,0.782,-4.687,0.0674,0.00772,0.107,119.997,160880,0.484,TRUE,1,0,4,2
6662605,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400,0.398,FALSE,1,0.0177,4,10
26769304,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181,0.631,FALSE,1,0,4,5
8384096,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161,0.446,FALSE,1,0,4,1
26131,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,153406,0.259,TRUE,0,0,4,10
408696,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,123987,0.638,TRUE,0,0,4,6
17775316,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,209160,0.443,FALSE,0,0,4,5
2895789,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,231604,0.851,FALSE,1,0.00000114,4,8
27116,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,241970,0.448,FALSE,0,0.000307,4,5
3377762,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787,0.644,TRUE,0,0,4,4
1999954,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191,0.553,FALSE,0,0,4,11
2043294,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,197333,0.69,FALSE,1,0,4,0
31488,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667,0.505,FALSE,0,0,4,6
2819593,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,209438,0.513,FALSE,0,0.000104,4,6
2230022,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385,0.467,TRUE,1,0,4,0
56308172,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956,0.1,TRUE,1,0.00000217,4,1
1042079,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,58149,0.705,TRUE,1,0.0000162,4,2
1250353,0.659,0.667,-4.668,0.0339,0.00173,0.1,115.982,258004,0.468,FALSE,0,0.0000285,4,11
17719446,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808,TRUE,1,0,4,1
207547,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,166028,0.905,FALSE,1,0.0000114,4,8
207547,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,178088,0.618,FALSE,1,0.00221,4,6
18228,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,182857,0.827,FALSE,1,0.00000201,4,5
203972,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,206629,0.445,TRUE,1,0,4,0
287361,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,183624,0.266,FALSE,0,0.00109,3,9
151486,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,193636,0.695,TRUE,0,0,4,4
67158068,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,172325,0.682,TRUE,1,0,4,0
33651775,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,215280,0.553,FALSE,1,0.00244,4,0
1329531,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,144264,0.703,TRUE,0,0.00674,4,8
6341942,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,200785,0.924,TRUE,0,0,4,5
1250353,0.915,0.72,-3.126,0.0459,0.025,0.0942,126.986,131067,0.631,FALSE,1,0.0000261,4,8
8640063,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627,0.881,TRUE,0,0.00294,4,5
1521837,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,168030,0.191,TRUE,0,0,4,11
1427540,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733,0.532,TRUE,1,0.00000814,4,2
8384096,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107,0.183,FALSE,1,0,4,3
27142474,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,FALSE,0,0,4,6
3363988,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385,0.261,FALSE,1,0,3,3
16074,0.769,0.812,-2.088,0.0825,0.281,0.0781,180.003,280274,0.926,FALSE,0,0.0000263,4,1
35285425,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347,0.666,FALSE,0,0,4,10
411579,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429,0.471,TRUE,0,0,4,1
32574754,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867,0.065,FALSE,0,0,4,1
742692,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,176867,0.863,TRUE,1,0.00777,4,8
8758283,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510,0.813,FALSE,1,0.000189,4,10
10356559,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,158532,0.821,FALSE,0,0.00000237,4,7
56699,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,151429,0.399,FALSE,0,0.000746,4,1
47014200,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186,0.12,FALSE,0,0,4,4
1250353,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911,158040,0.913,FALSE,1,0,4,2
73211,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,171743,0.225,FALSE,1,0,4,8
8640063,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987,0.189,TRUE,1,0.0382,4,11
21942793,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672,0.811,FALSE,1,0.00199,4,7
5420471,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221,0.476,FALSE,1,0,4,11
83293380,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713,0.931,FALSE,0,0,4,1
33879560,0.759,0.54,-6.039,0.0287,0.037,0.0945,116.947,190960,0.75,FALSE,0,0,4,9
1250353,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,170813,0.29,FALSE,0,0,4,1
83293380,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,263400,0.168,FALSE,1,0,3,8
282045,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,231708,0.844,FALSE,1,0,4,9
36142273,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,203201,0.391,FALSE,1,0,4,7
7593046,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,181733,0.497,TRUE,1,0,4,11
3794081,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,198040,0.27,FALSE,1,0,3,5
1647262,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,169266,0.0823,FALSE,1,0,4,4
20270895,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,176658,0.654,FALSE,1,0,4,6
2421254,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,204280,0.51,FALSE,1,0,4,1
13261089,0.502,0.912,-4.556,0.0564,2.55E-05,0.106,116.761,301920,0.72,FALSE,1,0.000173,4,1
6266514,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,202827,0.269,FALSE,1,0,4,7
6662605,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173,0.337,FALSE,1,0.149,4,10
409173,0.682,0.873,-4.163,0.0449,0.402,0.0946,150.006,147072,0.964,FALSE,1,0,4,6
6430522,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,236883,0.369,TRUE,1,0,4,8
32262679,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,189486,0.595,FALSE,1,0,4,11
1838616,0.445,0.537,-8.532,0.04,0.695,0.0941,122.764,244360,0.131,TRUE,0,0.000016,4,4
64288,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,158594,0.424,FALSE,1,0,4,6
4781906,0.566,0.664,-5.303,0.0464,0.634,0.116,128.945,241693,0.437,FALSE,0,0,4,4
261225,0.689,0.706,-4.48,0.0312,0.0833,0.105,106.52,226268,0.623,FALSE,0,0,4,1
12969190,0.774,0.732,-4.227,0.0308,0.108,0.243,135.005,192725,0.734,FALSE,1,0,4,9
17353707,0.868,0.795,-6.044,0.269,0.0012,0.0461,166,156945,0.819,TRUE,1,0.0193,4,11
26769304,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609,FALSE,0,0.00000581,4,6
14187747,0.39,0.534,-9.575,0.0709,0.0807,0.184,92.047,198765,0.244,FALSE,1,0,4,0
35888760,0.392,0.402,-9.961,0.0536,0.288,0.243,143.883,354320,0.228,FALSE,0,0,4,0
6150675,0.713,0.617,-4.637,0.0887,0.122,0.0962,168.021,232853,0.682,FALSE,1,0,4,8
441674,0.632,0.595,-7.644,0.0401,0.0689,0.209,124.114,167903,0.435,FALSE,0,0,4,8
17719446,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808,TRUE,1,0,4,1
432581,0.734,0.855,-4.578,0.135,0.0821,0.0901,121.955,139563,0.54,FALSE,0,0.00000473,4,6
10561047,0.871,0.815,-4.439,0.0477,0.127,0.094,122.959,176575,0.823,FALSE,1,0.00000618,4,4
18572085,0.572,0.385,-6.362,0.0308,0.371,0.231,95.799,215733,0.323,FALSE,1,0,4,7
159647,0.672,0.717,-7.476,0.226,0.103,0.398,157.905,180380,0.473,TRUE,1,0,4,5
